Character attributes, sorted by character frequency
Character	Radical	Rad. nr.	Plus strokes	Total strokes	Rank	Freq. abs.	Freq. Rel.	Pronounc. nr.
欠	76	32	1	0.0026
而	126	32	1	0.0026
鬼	194	32	1	0.0026
米	119	32	1	0.0026
爿	90	32	1	0.0026
爻	89	32	1	0.0026
勹	20	32	1	0.0026
爪	87	32	1	0.0026
无	71	32	1	0.0026
麻	200	32	1	0.0026
方	70	32	1	0.0026
穴	116	32	1	0.0026
音	180	32	1	0.0026
殳	79	32	1	0.0026


Tokens	Types	Ratio	Note
1184	388	3.05	Type / Token ratio
7.08	8.17		Average Strokes
7	8		Median Strokes
123	123		Number of radicals
